sku,name,cost,sell_price,stock
IMP01604-3,IND MALE PLUG 380/415V 16A 3P+E - PCE IP67,0.000,0.000,1.000
IMP01605-3,IND MALE PLUG 380/415V 16A 3P+N+E - (PCE) IP67,0.000,0.000,0.000
IMP03204-1,IND MALE PLUG 380/415V 32A  3P+E,0.000,0.000,0.000
IMP03204-3,IND MALE PLUG 380/415V 32A  3P+E - (PCE) IP67,0.000,0.000,0.000
IMP06304-2,IND MALE PLUG 380/415V 63A 3P+E - (PCE),0.000,0.000,0.000
IMP06304-3,IND MALE PLUG 380/415V 63A 3P+E - (PCE) IP67,0.000,0.000,0.000
IWS03203-3,IND WALL SOCKET 220V 32A 2P+E - (PCE) IP67,0.000,0.000,0.000
IWS01604-2,IND WALL SOCKET 380/415V 16A 3P+E - PCE,0.000,0.000,0.000
IWS01604-3,IND WALL SOCKET 380/415V 16A 3P+E - PCE IP67,0.000,0.000,0.000
IWS01605-3,IND WALL SOCKET 380/415V 16A 3P+N+E - (PCE) IP67,0.000,0.000,0.000
IWS12504,IND WALL SOCKET 415V 125A 3P+E,0.000,0.000,0.000
IWS12505,IND WALL SOCKET 415V 125A 4P+E,0.000,0.000,0.000
IPP,INVOICE PAPER PRINTING,11.000,0.000,10.000
JCL0050,"JUBILEE CLIP 2""",0.150,0.000,10.000
2DL284P,LAMP 2D 28W 4PIN- OSRAM,3.500,0.000,7.000
LEDCL05-2WH,LED CANDLE LAMP 5W E14 WH - MX,0.000,0.000,0.000
LEDFL0100-2WW,LED FLOOD LIGHT 100W WW - ESSENCO,0.000,0.000,0.000
LEDFL0100-5WW,LED FLOOD LIGHT 100W WW - HYUNDAI,0.000,0.000,0.000
LEDFL0030-5WW,LED FLOOD LIGHT 30W WW - LEDVANCE/OSRAM,0.000,0.000,0.000
LEDFL0030-4WW,LED FLOOD LIGHT 30W WW - PRC,0.000,0.000,0.000
LEDL1092,LED LIGHT-STILL WW 1092 10MTR,0.800,0.000,0.000
SKU-6036,LED PANEL 4F X 30,0.000,0.000,0.000
LLS195,LEVER LOCK STEEL 195MM,1.500,0.000,0.000
LTC2120,LINE TAP CONNECTOR M120,0.000,0.000,0.000
MSM3X25,MACHINE SCREW (-) M3 X 25,0.800,0.000,1.000
MCB4P016-1,MCB 4P 16A - SCHNEIDER,0.000,0.000,0.000
MCB4P032-1,MCB 4P 32A - SCHNEIDER,0.000,0.000,0.000
MCBDP03-1,MCB DP 3A - SCHNEIDER,0.000,0.000,0.000
MCBDP06-1,MCB DP 6A - ABB,7.000,0.000,5.000
MCBTP016-2,MCB TP 16A - SCHNEIDER,0.000,0.000,0.000
MCBTP020-4,MCB TP 20A - SCHNEIDER,0.000,0.000,0.000
MSM4050,MECHINE SCREWS M4X50MM,0.000,0.000,0.000
ME1008025,METAL ENCLOSURE WP 1000X800X250MM,0.000,0.000,0.000
MHSB0125,METAL HALLIDE/SODIUM BALLAST 125W,0.000,0.000,0.000
MHSB1500,METAL HALLIDE/SODIUM BALLAST 1500W,0.000,0.000,0.000
MCAP0025UF,MOTOR CAPACITOR 25UF,1.200,0.000,31.000
MS290220,MOTOR SIREN 220V - MS290,0.000,0.000,0.000
MB325,MOUNTING BRACKET 300X200X5MM,0.000,0.000,0.000
MWW,MOUSE WITH WIRE,2.000,0.000,1.000
LRD12,OVERLOAD RELAY 5.5-8A SCHNEIDER,0.000,0.000,0.000
PCT230,PAPER CLIP TROMBONE 230,0.300,0.000,1.000
SKU-3417,PENEL MODIFICATION WORK,15.000,0.000,1.000
KEW8035,PHASE DETECTOR - KYORITSU,0.000,0.000,0.000
PLL4P42-1,PL LAMP 42W 240V 4PIN 830 GE,1.800,0.000,4.000
PS0200M,POLY SHEET - 200 MICRON,2.200,0.000,0.000
PS0602X,POLY SHEET - 60 MICRON,0.850,0.000,0.000
PS13RM,POWER SOCKET 13A RAIL MOUNTED - SCHNEIDER,4.500,0.000,4.000
PPRB3225,"PPR BUSH 1-1/4""X1""",0.000,0.000,0.000
PPRE025,"PPR ELBOW 1"" 90D",0.100,0.000,6.000
PPRE032,"PPR ELBOW 1-1/4"" 90D",0.250,0.000,3.000
PPRFE032,"PPR FEMALE ELBOW 1-1/4"" 90D",1.400,0.000,3.000
PPRGV032,"PPR GATE VALVE 1-1/4""",1.900,0.000,1.000
PPRMP020,PPR MALE PLUG 20MM,0.050,0.000,8.000
PPRMS025,"PPR MALE SOCKET 1""",0.850,0.000,4.000
PPRMS032,"PPR MALE SOCKET 1-1/4""",1.200,0.000,9.000
PPRT3225,"PPR PIPE TEE 1-1/4""X1""",0.000,0.000,0.000
PPRSK040,PPR SOCKET 40MM,0.225,0.000,8.000
PPRT3220,PPR TEE 32 x 20 x 32mm,0.300,0.000,3.000
PPRUN025,"PPR UNION 1""",0.000,0.000,0.000
